Sigla;Código;Município;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;Região
GO;5200050;Abadia de Goiás;2424,936554;3245,043281;2267,852659;2679,406092;2614,865814;2471,130898;2428,909391;2475,271378;2911,917567;2942,722344;2987,580794;3359,222562;CENTRO-OESTE
MG;3100104;Abadia dos Dourados;3579,578483;3569,026138;3390,892363;3570,894244;3721,972227;3878,019887;4187,955956;4339,807063;4870,404006;5381,286557;5127,203916;5272,835866;SUDESTE
GO;5200100;Abadiânia;2191,44097;2432,274479;2300,038443;2599,456671;2859,659738;2869,877001;2588,491457;2513,736983;2776,223358;2794,895524;2976,071895;3108,015394;CENTRO-OESTE
MG;3100203;Abaeté;3807,532532;3674,63821;4052,176372;4096,004938;4270,077213;4296,035253;4462,776171;4376,826031;4893,064708;5899,148871;4999,945484;5120,55414;SUDESTE
PA;1500107;Abaetetuba;1339,892232;1257,703975;1279,147996;1319,229621;1328,777173;1343,378613;1332,962282;1432,191342;1559,178438;1525,603468;1578,193714;1689,721021;NORTE
CE;2300101;Abaiara;1474,890508;1588,350021;1255,764763;1214,248458;1316,224123;1267,950404;1197,107095;1365,107834;1259,806939;1401,207037;1464,190767;1529,317179;NORDESTE
BA;2900108;Abaíra;1002,373142;876,5182457;1607,522446;1776,760345;1294,364358;1251,287612;1378,916812;1452,990026;1568,748661;1549,824466;1610,22995;1895,556515;NORDESTE
BA;2900207;Abaré;993,0236706;1012,565304;1206,848144;1185,867371;1274,753928;1114,75288;1301,926995;1360,881399;1348,43969;1374,644368;1462,228343;1677,757958;NORDESTE
PR;4100103;Abatiá;2175,320801;1984,068044;2539,834954;3187,723135;3779,983262;4261,200672;3622,40803;3422,830365;3742,282839;3824,087987;3399,166686;3370,285956;SUL
SC;4200051;Abdon Batista;3670,135896;3658,213985;4015,646856;4428,274545;4756,468984;4448,11901;4100,210268;4417,199733;4991,127275;6027,010634;6158,306454;5953,813;SUL
PA;1500131;Abel Figueiredo;2516,5058;2906,016146;2935,970593;3844,296403;3300,617388;2821,949009;2948,086326;2842,952914;3543,459136;3001,896204;2980,597787;3039,465169;NORTE
SC;4200101;Abelardo Luz;7015,530759;7206,08801;6395,411199;7167,576471;9268,0208;8893,616733;6861,645358;6329,84424;9067,140214;10613,75956;11795,23266;10064,57419;SUL
MG;3100302;Abre Campo;4427,924307;4374,57292;3320,466762;3256,897399;2902,658707;3146,076566;3509,611768;3263,375495;3271,031964;3387,042311;3483,904798;3577,791195;SUDESTE
PE;2600054;Abreu e Lima;3075,425099;3167,316113;2896,064332;2962,269639;3099,433153;3430,207158;3269,309733;3299,498868;3431,596677;3667,381609;3686,638348;4005,850739;NORDESTE
TO;1700251;Abreulândia;2642,569201;2714,771782;3362,826662;2710,171376;2815,191204;2731,791445;2848,498458;3031,346202;3553,097674;3579,54651;3639,467868;3566,08214;NORTE
MG;3100401;Acaiaca;1978,333088;1888,533215;1937,838893;2082,225096;2219,149329;2156,608298;2125,940794;2194,758838;2257,930164;2462,982034;2450,488784;2701,726502;SUDESTE
MA;2100055;Açailândia;4333,780709;4840,822288;5219,866899;5982,163274;6576,092198;6447,328761;6972,152882;7852,821241;10352,9925;9140,475648;6212,930709;5605,911204;NORDESTE
BA;2900306;Acajutiba;1493,635878;1825,740308;1584,036178;1859,764132;1644,736153;1549,460297;1688,117299;1709,31178;1687,896819;1812,009612;1970,719661;2196,009126;NORDESTE
PA;1500206;Acará;1268,962441;1223,716925;1627,184902;1691,392381;1847,04589;1526,962941;1619,098131;1728,67633;2569,339292;2083,860572;2396,482454;1959,845842;NORTE
CE;2300150;Acarapé;2464,844619;2528,677988;2069,590921;1879,893044;1681,977053;1562,357942;1402,766012;1500,433557;1599,201441;1699,83097;1770,565158;1987,317313;NORDESTE
CE;2300200;Acaraú;1658,692446;1509,053916;1552,326677;1682,063714;1701,506702;1788,308128;1744,477973;1816,279224;1894,108539;2083,580253;2046,260349;2399,509121;NORDESTE
RN;2400109;Acari;1977,467297;1964,243642;1951,531185;2190,198351;2078,179891;2155,230913;2267,386235;2341,041544;2431,839797;2526,619707;2614,401466;2808,758664;NORDESTE
PI;2200053;Acauã;1088,09369;1207,130983;1075,903526;1027,584749;1115,849591;1215,093534;1121,317462;1304,509596;1345,50539;1436,11257;1466,652858;1616,909606;NORDESTE
RS;4300034;Aceguá;;;8869,964243;9715,764073;10934,6634;13100,55799;10970,32806;9541,324733;10378,57095;10508,51664;12857,82336;13606,96479;SUL
CE;2300309;Acopiara;1435,93418;1545,928806;1264,038425;1397,019014;1368,283689;1483,002266;1451,426311;1505,630545;1456,665827;1605,228434;1608,711456;1796,758391;NORDESTE
MT;5100102;Acorizal;2490,811075;2719,685891;2428,697327;2900,914116;3220,021552;4123,428519;5302,722977;3722,006342;4675,835645;4500,395268;4411,452444;4195,459577;CENTRO-OESTE
AC;1200013;Acrelândia;3242,148081;3862,855376;4755,458408;4785,467015;5750,817616;6159,559667;6300,763704;6115,022755;7112,116619;6310,290675;5963,392748;6673,840623;NORTE
GO;5200134;Acreúna;8117,443878;8533,338022;6793,001649;9954,492891;9674,669445;8660,817772;6632,285655;5890,211259;6442,637249;6582,677122;7352,121701;5931,098711;CENTRO-OESTE
RN;2400208;Açu;2425,549945;2710,058272;2670,92636;2778,035236;2406,091183;2466,396641;2740,424061;2876,472475;3029,951594;3060,176652;2869,213665;3384,305869;NORDESTE
MG;3100500;Açucena;1842,340343;1822,089851;1760,920536;1763,320998;1875,23921;1730,27671;1802,351488;1895,941515;1993,172247;2102,250542;2237,655786;2507,137787;SUDESTE
SP;3500105;Adamantina;5552,169348;5353,873185;6343,537309;6430,821626;6569,879575;6130,377024;6406,530017;7172,977853;7137,657499;6699,435115;7461,717826;7369,334097;SUDESTE
GO;5200159;Adelândia;2200,304075;2026,13585;2605,11868;2917,579327;2806,478033;2755,649512;2851,967838;2964,714434;3151,320528;3476,910223;3884,737675;4261,576903;CENTRO-OESTE
SP;3500204;Adolfo;10000,28537;7912,670136;10963,93158;8286,052699;7718,641504;7541,253713;6480,282455;7377,22718;12018,01789;9839,700338;8907,025712;12905,17428;SUDESTE
PR;4100202;Adrianópolis;2317,977408;2382,618841;2103,874002;2323,895237;2743,124996;2821,422861;2939,451846;3180,05609;5401,040968;4353,312299;4763,27174;5982,013906;SUL
BA;2900355;Adustina;2850,017044;2668,665349;1513,288243;1995,652868;1945,446909;2260,31142;2428,669743;2110,801072;3688,015132;2480,559223;2471,057861;2719,127682;NORDESTE
PE;2600104;Afogados da Ingazeira;1709,786705;1757,482476;1941,189038;2145,092889;2021,515768;1930,214615;2013,826577;2130,864503;2304,800509;2331,570874;2463,593905;2514,300704;NORDESTE
RN;2400307;Afonso Bezerra;1478,28077;1605,914544;1445,666028;1550,734629;1454,935727;1547,855597;1467,426265;1594,486481;1880,603296;1728,236355;1854,310524;1927,984961;NORDESTE
ES;3200102;Afonso Cláudio;3099,290461;3738,663869;2807,554453;3095,015821;2869,905426;2809,288316;2925,397432;3083,858782;3612,044826;3202,357858;3305,82922;3504,386604;SUDESTE
MA;2100105;Afonso Cunha;1071,267618;1191,608304;1203,086122;1236,134427;1241,809265;1470,97945;1491,18934;1593,348674;1511,046733;1647,392195;1663,086723;1851,960923;NORDESTE
PE;2600203;Afrânio;1271,274073;1450,154214;1335,702107;1367,25755;1363,151091;1381,548456;1509,11386;1618,814406;1722,282406;1726,110991;1831,311111;2043,24704;NORDESTE
PA;1500305;Afuá;1558,473619;1424,345315;1475,740589;1367,052627;1312,567133;1251,943476;1244,759855;1115,56343;1306,732482;1435,572231;1481,643565;1448,459177;NORTE
PE;2600302;Agrestina;1781,12685;1833,039972;1925,597565;1902,984254;1935,827488;1872,231954;1950,052841;2055,707436;2155,924527;2195,262964;2325,990176;2470,576402;NORDESTE
PI;2200103;Agricolândia;986,3200682;962,7279095;964,5672324;1011,917419;1198,567336;1179,435292;1157,505843;1216,013158;1348,338129;1475,913775;1512,997477;1503,651136;NORDESTE
SC;4200200;Agrolândia;5229,480288;5379,810567;5793,278332;5866,73659;7033,377671;7723,430856;6920,719615;7321,791061;7016,032949;7594,702;6956,155912;7741,054479;SUL
SC;4200309;Agronômica;6108,980445;6779,747542;6720,678207;7975,362978;8631,347905;9764,36753;8775,474675;5987,900099;6459,531704;6999,450026;7886,14719;8620,289926;SUL
PA;1500347;Água Azul do NORTE;1512,662198;1514,318139;2360,206691;2394,386562;2413,282456;2191,231063;3042,854156;3756,195693;4033,822347;3785,396208;2919,695651;3469,641063;NORTE
MG;3100609;Água Boa;2001,697217;3234,515043;2457,280936;2099,601413;2124,656935;2081,29372;2112,12754;1821,909459;2417,992292;2509,270481;2522,951241;2577,166085;SUDESTE
MT;5100201;Água Boa;5320,060975;6585,729896;5929,352776;7032,8459;8990,566968;12266,59223;9786,177825;9078,917907;7332,337757;9270,661804;8767,318277;8962,996623;CENTRO-OESTE
AL;2700102;Água Branca;1281,672762;1497,296474;1402,651146;1219,824399;1074,887483;1125,118288;1307,378593;1342,196654;1424,458697;1462,168986;1432,880279;1574,951008;NORDESTE
PB;2500106;Água Branca;1085,121624;1222,196366;1258,326281;1382,369105;1454,282378;1333,364056;1362,783546;1646,111638;1602,323531;1659,07673;1738,70708;1807,857069;NORDESTE
PI;2200202;Água Branca;1461,727349;1443,798516;1348,451889;1360,925744;1250,497341;1316,325968;1505,851632;1584,950515;1765,471244;1932,605618;1838,681463;2014,850248;NORDESTE
MS;5000203;Água Clara;8861,579194;9303,381805;8832,071639;8403,05407;9047,267214;8956,584419;8269,175692;7994,410448;9803,939355;10490,1021;11530,65159;11489,86284;CENTRO-OESTE
MG;3100708;Água Comprida;12516,4583;11223,54922;11678,33679;12274,68307;16668,49074;19017,70197;14215,55191;15705,04666;15233,17224;14388,16011;17851,15064;27541,98256;SUDESTE
SC;4200408;Água Doce;6018,762834;6591,997007;6856,475161;7299,19465;9342,305734;10382,66649;11416,92737;10515,17581;9978,119481;14596,65138;16670,7677;12579,1436;SUL
MA;2100154;Água Doce do Maranhão;935,7253075;969,8769185;1048,110107;1080,441099;1157,121725;1147,160945;1124,812657;1434,965208;1200,174457;1428,045166;1462,316086;1569,973878;NORDESTE
ES;3200169;Água Doce do NORTE;2399,393519;2643,519774;2373,263158;2618,305487;2607,316644;2959,033418;3153,361304;3485,545904;4401,998916;4045,118569;3668,672483;3244,855669;SUDESTE
BA;2900405;Água Fria;1130,420352;1161,653048;1129,880444;1196,824331;1310,697941;1218,01295;1738,519192;1701,229152;2042,699599;1735,921988;2108,153796;2154,579223;NORDESTE
GO;5200175;Água Fria de Goiás;4650,130025;5101,193558;4450,322637;6287,962156;8409,039434;9458,543558;7558,433271;7258,520047;7994,448749;10458,8498;8289,833236;11469,11401;CENTRO-OESTE
GO;5200209;Água Limpa;3785,809075;4184,94123;4141,138623;4737,313556;5573,977888;4977,065584;4821,845192;4469,738201;5413,792377;5591,167686;5673,103784;6020,441279;CENTRO-OESTE
RN;2400406;Água Nova;1702,204127;1666,047602;1874,277734;1950,076608;1625,992595;1641,083211;1667,466154;1813,587704;2098,213178;2157,743751;2272,065193;2279,543166;NORDESTE
PE;2600401;Água Preta;1526,364187;1893,43415;1844,252452;1628,715671;1580,017915;1628,730101;1689,32453;1746,034991;1788,18464;1784,914094;2006,960925;1939,847075;NORDESTE
RS;4300059;Água Santa;5451,528489;5243,16415;6662,994714;7313,324951;9342,668117;7607,609674;5093,733992;7326,295497;10774,06092;11822,33206;10893,25065;11588,39878;SUL
SP;3500303;Aguaí;5954,383426;6462,35443;8529,85509;7551,848557;7398,962454;9807,712324;8344,673976;10114,55721;12835,15655;9394,291881;7169,139644;8499,603165;SUDESTE
MG;3100807;Aguanil;3206,572505;3133,094414;3101,801593;3330,241959;3324,698699;3548,332574;3705,266814;3820,883368;3553,574611;3398,082455;3356,888584;3593,696461;SUDESTE
PE;2600500;Águas Belas;1362,784816;1483,206978;1495,833624;1688,054091;1523,838172;1571,161434;1629,931376;1839,190036;1716,923466;1757,960128;1860,639661;1976,471055;NORDESTE
SP;3500402;Águas da Prata;7494,75402;6666,952119;6064,924034;6312,152436;6043,188805;7069,891537;4461,67122;5564,728966;6969,841867;8145,011748;12039,7299;13341,38126;SUDESTE
SC;4200507;Águas de Chapecó;3226,680914;3634,409504;3612,64259;3857,059371;4532,293399;4939,626694;4523,874973;4450,924481;6106,831795;9549,032686;9693,449389;9264,175953;SUL
SP;3500501;Águas de Lindóia;4576,440666;4693,204191;4743,16068;4566,518394;4210,781322;3922,177246;4085,844952;4036,32131;4831,741301;4641,392885;5105,950579;5092,161706;SUDESTE
SP;3500550;Águas de Santa Bárbara;6375,148568;5567,369857;6270,553356;6257,449181;5374,512126;5373,889892;4839,070698;5280,402398;5857,528244;5681,359516;8697,156787;14194,38084;SUDESTE
SP;3500600;Águas de São Pedro;11517,77382;13160,98924;12230,63995;12631,35584;12230,76295;11857,1038;12013,31213;11036,95433;9983,222073;9207,870098;9403,333327;9428,139414;SUDESTE
MG;3100906;Águas Formosas;1772,521392;1868,84466;1849,215671;1900,468839;1963,237067;2006,36191;2127,997074;2130,957315;2235,943054;2326,718349;2335,183087;2631,627556;SUDESTE
SC;4200556;Águas Frias;3636,008543;3952,835438;4118,229732;4982,390585;5895,592195;7508,975547;8876,54165;9150,011419;10829,89681;12029,46492;10426,77747;11422,31226;SUL
GO;5200258;Águas Lindas de Goiás;1495,68411;1678,717357;1459,819511;1404,694663;1416,600761;1336,730708;1325,251075;1292,671343;1697,891334;1693,561459;1850,866289;1894,349672;CENTRO-OESTE
SC;4200606;Águas Mornas;4429,199682;5147,331431;4948,989771;4723,341574;5849,549448;5078,436852;5306,325233;4958,544887;5090,782099;6013,967509;5794,185789;5182,768781;SUL
MG;3101003;Águas Vermelhas;2105,949933;2180,782616;2241,010456;2397,169245;2427,515446;2522,582299;2509,184176;1826,389533;1898,971581;1935,463459;3251,422889;3423,468658;SUDESTE
RS;4300109;Agudo;5786,283882;6280,570099;5578,651796;6782,645473;7407,76761;6823,271059;5921,717422;6217,293574;6789,924755;7019,828246;7571,293742;7340,727551;SUL
SP;3500709;Agudos;9281,738063;9526,908409;9135,734687;8931,760128;8777,401259;8161,245757;9589,457343;10661,9674;10633,58359;8959,773096;10056,79834;12132,05391;SUDESTE
PR;4100301;Agudos do Sul;2154,531347;2327,757133;2162,142357;2647,186862;3105,966861;2873,498846;3150,908318;3013,363536;3016,885433;3062,174618;2919,63868;3988,842465;SUL
ES;3200136;Águia Branca;3290,563179;4345,236685;3600,615843;3076,019716;3364,645499;3652,354219;4413,326828;4563,568588;6875,144335;5481,092111;4795,310949;5015,79272;SUDESTE
PB;2500205;Aguiar;1556,762113;1406,365739;1506,150198;1583,032125;1649,374274;1628,927504;1739,272343;2027,916345;1701,090746;1766,288324;1841,93145;1976,389893;NORDESTE
TO;1700301;Aguiarnópolis;2095,492452;2962,41482;5330,457821;7846,32638;6401,062508;5210,26307;4005,906936;4509,189395;4796,518467;6599,937176;6522,594138;5492,552911;NORTE
MG;3101102;Aimorés;3313,966117;3169,011241;3298,228171;3768,308748;3647,272347;3972,183455;4364,367819;4895,457922;4799,763088;4688,157302;5075,857419;4641,528755;SUDESTE
BA;2900603;Aiquara;1526,559603;1287,586247;1938,637438;2166,540756;1892,021604;1851,010616;1988,792643;2153,580344;2022,180927;1955,295029;2041,352666;2470,861102;NORDESTE
CE;2300408;Aiuaba;1243,816802;1123,879671;978,7338669;1056,578547;1192,6365;1094,945693;1228,042244;1446,956004;1395,593254;1539,447654;1431,438165;1494,144999;NORDESTE
MG;3101201;Aiuruoca;3638,681831;3616,708359;3502,320503;3417,751216;3591,997341;3693,216032;3941,197625;3645,360793;4003,554269;4328,273292;4117,477751;4231,917748;SUDESTE
RS;4300208;Ajuricaba;5267,160283;5082,312419;5862,106286;5677,509023;8092,83795;6320,493365;5052,251324;6294,510115;9193,255374;8824,150434;8685,200333;9274,098937;SUL
MG;3101300;Alagoa;2889,09999;2844,28196;2817,661097;3018,710192;3054,047048;2933,633833;3497,815339;3253,41195;3654,970369;4056,938188;3835,57401;4186,107596;SUDESTE
PB;2500304;Alagoa Grande;1653,78823;1679,196625;1599,403345;1486,311067;1579,220656;1503,029747;1493,071732;1683,149594;1842,426833;1990,054967;1830,134229;1932,569511;NORDESTE
PB;2500403;Alagoa Nova;1735,022748;1663,148719;1948,211563;2049,252969;2600,847053;2193,802951;2596,708555;2911,903981;2815,169075;2920,474283;3021,765943;2581,130091;NORDESTE
PB;2500502;Alagoinha;1470,549819;1320,310138;1538,159114;1476,814626;1553,106111;1504,561056;1524,716809;1611,165381;1628,879333;1695,397887;1756,433406;1815,574197;NORDESTE
PE;2600609;Alagoinha;1315,761276;1351,073714;1332,836223;1395,741059;1389,835119;1417,134173;1498,534512;1553,730265;1731,278587;1803,183135;1908,696197;2056,44993;NORDESTE
PI;2200251;Alagoinha do Piauí;1433,903107;1215,823879;1204,321397;1076,187595;1170,798896;1347,708227;1357,204309;1635,910727;1442,936392;1572,087202;1702,965089;1609,275273;NORDESTE
BA;2900702;Alagoinhas;3044,288165;3093,407691;3275,928525;3620,555064;3267,753074;3575,854753;3817,713126;4023,903983;4565,338933;4490,713878;4748,739243;5081,159746;NORDESTE
SP;3500758;Alambari;4414,917296;4088,649138;5586,778924;5182,809651;5586,754703;6070,809739;6790,114098;6552,772962;6289,186525;6680,036313;7148,397967;8563,045126;SUDESTE
MG;3101409;Albertina;6474,682297;8485,820095;6650,908562;6905,284262;6569,33735;9917,817741;12367,34228;4385,50611;17641,34745;8766,548182;3449,160116;6540,763573;SUDESTE
MA;2100204;Alcântara;1931,192741;1692,17246;1185,179683;1342,810063;1113,393065;1170,088999;1240,992796;1281,897356;1455,980207;1464,218269;1435,475376;1529,489331;NORDESTE
CE;2300507;Alcântaras;951,6277292;1002,60856;1157,142391;1207,878504;1232,174875;1235,55407;1292,252034;1413,913421;1373,874323;1403,482961;1458,943849;1564,928474;NORDESTE
PB;2500536;Alcantil;1579,440439;1763,277829;1722,721018;1619,418153;1767,378113;1687,435655;1791,994073;1836,318681;1963,958512;2026,242532;2071,047623;2143,399558;NORDESTE
MS;5000252;Alcinópolis;8281,389605;8758,964646;9614,142568;10588,36515;11905,98655;16282,08616;16088,69855;16989,09801;8665,68999;9917,306236;9946,483351;10423,24685;CENTRO-OESTE
BA;2900801;Alcobaça;3481,613462;3943,892627;4530,330413;3385,686961;3159,321761;2599,168136;3310,883177;2541,776386;3660,875852;3979,266493;3411,271397;4708,515927;NORDESTE
MA;2100303;Aldeias Altas;1253,891512;1187,540868;1079,19138;1054,588706;1073,124167;1130,89152;1224,570358;1426,484629;1242,455815;2189,045792;2174,236305;2484,731272;NORDESTE
RS;4300307;Alecrim;3357,653292;3505,482588;3819,115028;3817,615531;4204,808401;3963,358133;3752,539582;4121,621174;4472,451897;4494,402962;4590,145592;5100,580191;SUL
ES;3200201;Alegre;3246,309081;3548,538341;3097,973645;2727,894888;2894,914494;3120,483067;3086,368709;3234,684347;3494,038756;3516,76574;3453,908059;3552,499227;SUDESTE
RS;4300406;Alegrete;5207,95595;4782,851052;5207,251571;5125,744626;5497,453834;5909,139933;5343,036594;5500,206841;6144,063183;7184,708112;6931,04468;7199,374696;SUL
PI;2200277;Alegrete do Piauí;1298,027355;1148,608786;1136,344347;1059,376278;1388,098372;1276,427719;1313,449797;1424,657333;1693,679446;2667,743345;2207,586375;1743,840876;NORDESTE
RS;4300455;Alegria;3627,938019;3925,593462;4070,519017;3974,422559;5863,296798;4656,989285;3422,411464;4043,935166;5237,779111;4933,480637;4943,02934;5823,212023;SUL
MG;3101508;Além Paraíba;6993,090348;7442,084684;6961,560436;7228,461107;7438,27155;7799,769985;7837,230728;7824,049062;5612,013502;8053,406392;8792,028885;8408,75631;SUDESTE
PA;1500404;Alenquer;1500,504052;1458,019278;1533,762583;1622,26596;1679,767583;1763,868067;1760,08897;1859,997196;1615,494287;1562,654437;1763,326522;2071,892977;NORTE
RN;2400505;Alexandria;1610,968205;1697,264962;1681,205287;1825,530367;1581,353128;1625,672916;1689,984401;2247,814404;2060,607578;2030,700713;2096,294659;2205,353135;NORDESTE
GO;5200308;Alexânia;2139,471694;2273,503964;2497,829612;2728,896988;4679,920975;6027,84198;6922,028127;7529,241148;8236,141542;6562,87721;7100,523261;6142,579607;CENTRO-OESTE
MG;3101607;Alfenas;6554,819282;6723,530089;5838,831493;6128,755403;5783,419258;6510,005059;5379,527975;5963,973148;6386,929725;6945,174834;6981,632665;7758,795887;SUDESTE
ES;3200300;Alfredo Chaves;3547,81622;3699,578453;2817,076847;2544,670321;2815,186634;2915,148018;3363,48308;3943,206872;4274,498478;4410,889998;4271,281114;5117,642031;SUDESTE
SP;3500808;Alfredo Marcondes;3735,38232;3770,928112;3908,963121;4087,025471;3912,63621;3712,69865;3864,480417;3895,088361;4171,704809;4353,368344;4535,599114;5429,23678;SUDESTE
MG;3101631;Alfredo Vasconcelos;3580,518162;3279,689581;3414,167239;3761,608678;4872,217041;7306,529497;6072,539332;5271,972719;3315,32461;3792,19939;3508,509927;3542,794924;SUDESTE
SC;4200705;Alfredo Wagner;5325,265762;6730,159191;7053,793509;7249,023681;6805,509247;7194,160448;6763,988394;8850,257606;5514,952134;5409,010973;7996,385371;8615,332881;SUL
PB;2500577;Algodão de Jandaíra;1875,950861;3053,814169;1710,391207;1606,181189;1862,352482;1910,822933;1931,818979;1989,676467;2361,45831;2645,659464;2243,839647;2264,496122;NORDESTE
PB;2500601;Alhandra;3128,472342;3431,093026;5670,728022;10578,80418;5759,840338;4538,34791;3428,036019;5494,151679;5911,602706;5309,568391;5969,095675;5922,508047;NORDESTE
PE;2600708;Aliança;1535,770588;1536,358828;1602,433396;1707,918243;1644,982387;1693,815548;1770,734678;1997,676568;2012,952504;2026,139095;2220,172252;2236,723165;NORDESTE
TO;1700350;Aliança do Tocantins;3310,869592;3539,719669;3140,273946;2833,941878;3933,506124;3694,958718;3111,225515;2965,202533;3312,791176;3510,152026;3699,922984;4125,240086;NORTE
BA;2900900;Almadina;1568,512057;1503,495873;1356,005832;1704,717591;1652,704361;1666,591045;1614,070386;1805,79468;1778,969841;1800,124599;1966,131657;2100,189122;NORDESTE
TO;1700400;Almas;1795,394633;1989,799142;1858,228629;1757,936403;1946,324296;2070,543393;2410,891464;1898,188685;2356,760324;2578,301208;2586,131138;2785,175842;NORTE
PA;1500503;Almeirim;7931,1323;8707,488389;10687,62765;13963,39664;10970,17846;9764,40568;8406,698798;7338,932067;7538,434106;7994,627341;5369,088473;5698,010998;NORTE
MG;3101706;Almenara;2256,841073;2404,197171;2118,919899;2216,189637;2281,188479;2200,226901;2212,046533;2354,002486;2479,619299;2571,662884;2663,551375;2816,454998;SUDESTE
RN;2400604;Almino Afonso;1497,493207;1577,071702;1516,624815;1857,337511;1626,373683;1606,670381;1747,751974;1977,243599;2094,300109;2108,317788;1941,613295;1966,195218;NORDESTE
PR;4100400;Almirante Tamandaré;2723,111922;2883,030759;2800,618338;3297,415713;3161,932901;2928,078141;2761,643188;2319,432401;3112,606005;2567,472124;2857,644818;3129,84962;SUL
RS;4300471;Almirante Tamandaré do Sul;;;11272,85564;11521,6729;15525,10921;11445,57714;6280,099563;11172,82619;13494,56539;14462,57752;13017,07688;11971,66055;SUL
GO;5200506;Aloândia;2641,175849;2849,000486;3647,187854;3628,875147;3316,986627;3189,756374;3345,958826;3390,752249;3674,834264;3931,641018;3971,250026;4042,052998;CENTRO-OESTE
MG;3101805;Alpercata;2365,293246;2457,013469;2523,250151;2609,591816;2627,900736;2858,954812;2859,244276;2772,098321;2861,669127;2768,245219;2744,323427;2907,731345;SUDESTE
RS;4300505;Alpestre;3159,111107;3366,533178;3646,431157;3546,119248;4814,491772;4331,231102;4309,959669;4822,550914;4929,765544;4875,418058;4758,000964;5993,025641;SUL
MG;3101904;Alpinópolis;4340,296581;3994,973633;3442,315006;3909,415184;3943,200407;4644,733459;4506,363404;4814,470777;5776,233362;5879,915978;5621,488846;5635,636407;SUDESTE
MT;5100250;Alta Floresta;3925,366317;5061,675068;4154,683026;4742,098551;4576,160887;5121,689908;5207,739214;4919,817071;5125,749142;5227,331931;5450,864845;6263,548751;CENTRO-OESTE
RO;1100015;Alta Floresta D'Oeste;3887,151591;3881,023083;3689,78149;3975,923436;4112,553533;4076,682862;4115,433797;3899,149881;5488,206615;6373,540648;6063,455625;6139,878171;NORTE
SP;3500907;Altair;9907,776206;8773,274254;15996,76557;16571,34927;16530,17105;14973,83116;13227,30801;15526,55432;18898,15453;16181,60295;14132,61015;16702,12998;SUDESTE
PA;1500602;Altamira;2535,185077;2370,449913;2499,99285;2720,303891;2701,647885;2745,202673;2754,54104;2824,22291;3159,072877;3032,965955;2982,987232;3261,670472;NORTE
MA;2100402;Altamira do Maranhão;1314,390514;1497,499914;824,8202553;1379,938276;1634,075896;1717,955006;1744,856266;1893,07636;1758,691031;2068,605059;1911,275115;1451,837886;NORDESTE
PR;4100459;Altamira do Paraná;2276,581121;2286,805133;2057,560256;2249,554422;2314,237159;2411,400856;2379,591113;2366,914285;3689,048891;4570,627316;4782,799624;4290,458781;SUL
CE;2300606;Altaneira;1143,897767;1068,366211;1105,331419;1232,692277;1193,337951;1206,83895;1224,769346;1355,144441;1350,11907;1510,991262;1534,459231;1600,865819;NORDESTE
MG;3102001;Alterosa;3220,698303;3421,372298;3103,193387;3137,942659;2806,416627;3290,412166;3122,494738;3319,3139;3495,745648;3809,021955;3682,894182;3931,635224;SUDESTE
PE;2600807;Altinho;1457,072003;1469,933184;1451,442359;1468,462803;1444,489589;1458,065879;1551,565651;1628,657867;1617,054325;1638,488033;1756,182504;1867,099546;NORDESTE
SP;3501004;Altinópolis;7761,763601;7250,990977;6618,892071;8219,138985;7070,979202;7869,795742;8367,452724;8798,652257;8562,373574;9548,194421;7184,913392;10579,76524;SUDESTE
RR;1400050;Alto Alegre;4255,417281;4410,799825;3970,473888;3902,322805;3881,616867;3395,552484;3306,633361;3058,341203;4389,650965;4620,484778;4827,626524;4453,1845;NORTE
RS;4300554;Alto Alegre;5032,842302;5234,009318;6248,931567;6479,207867;7980,073019;5291,636784;3968,183239;5583,933567;7044,838066;8146,218477;8495,321962;8024,109944;SUL
SP;3501103;Alto Alegre;3674,645282;3988,962639;3766,227905;5804,430747;5460,892896;5644,163083;5069,106848;6087,956871;5738,609855;4739,630842;4342,537649;6397,794066;SUDESTE
MA;2100436;Alto Alegre do Maranhão;1139,779978;1289,544142;1086,094906;1094,919469;1080,846151;1096,108441;1122,073021;1192,062274;1283,631727;1548,386451;1482,172275;1521,856575;NORDESTE
MA;2100477;Alto Alegre do Pindaré;1240,266535;1351,344257;1167,225179;1626,62672;1696,93561;1665,459387;1591,020087;1735,682974;1930,118902;2103,017331;1714,772607;1784,14122;NORDESTE
RO;1100379;Alto Alegre dos Parecis;3989,540192;4083,024463;3343,667104;3413,837867;3662,525108;3558,249681;3783,19179;3583,030442;5460,858953;6152,255635;6539,608965;5536,585216;NORTE
MT;5100300;Alto Araguaia;4653,930601;5609,910207;5241,227926;13263,355;31136,4434;40532,67225;36954,26356;35004,2915;29547,27422;27125,10558;24900,70965;33184,1932;CENTRO-OESTE
SC;4200754;Alto Bela Vista;4042,79993;5191,863383;6169,675438;6264,45586;7638,270589;6701,455727;7677,807442;6550,76357;6990,815995;7324,443236;6915,079245;7042,205508;SUL
MT;5100359;Alto Boa Vista;2199,256583;2278,199479;3243,023757;3674,449833;3820,255736;5901,538352;5057,85507;4525,924022;3958,657446;5328,384415;4680,670134;4924,43137;CENTRO-OESTE
